event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SNJ,Nanzi,182216.8781297347,2516751.304186453,60.39,66.64,3.07,5.03,5.03,60533.221273582574,5.03,7.747689978309665
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EYUL,Yuli,282718.8616803043,2583076.725025431,61.74,227.36,2.18,2.21,2.21,61647.178019829196,2.21,3.8105905054203872
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SSP,Xinpi,205752.38381064025,2486767.363956337,62.4,30.4,5.21,3.29,5.21,62911.78541211742,5.21,8.069219293091495
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SSH,Shanhua,177290.26195851923,2559962.9175333153,62.96,107.03,1.4,5.62,5.62,63322.2372570982,5.62,8.070241632070257
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EAS,Daren,235583.5624377809,2475638.078382048,65.09,1.73,0.63,1.81,1.81,65362.23140104442,1.81,2.63611456503696
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TAI1,Yongkang,172112.04456256446,2548914.634317444,65.95,96.6,1.4,3.11,3.11,66063.66179843058,3.11,4.615647300216947
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,LDU,Ludao,298297.4824824683,2507818.365284252,69.21,298.29,0.9,2.17,2.17,69074.89143467858,2.17,3.198093181881979
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TAI,TainanCity,167988.30914542265,2544506.847668139,69.62,92.34,1.34,3.31,3.31,69797.35713415591,3.31,4.869065618781493
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TAWH,Dawu,238669.56738165798,2471206.542868231,69.75,358.96,0.79,1.41,1.41,69766.42449657679,1.41,2.1448309956730855
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ECB,Changbin,296021.39634556696,2579789.9260896416,70.36,236.92,1.32,2.75,2.75,70065.38938878383,2.75,4.106994034570783
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SCZ,Chunri,211896.53083520586,2474570.9535757694,71.05,20.96,0.56,1.24,1.24,71231.50554160816,1.24,1.8408693598406163
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SCL,Jiali,168091.3829941725,2563332.9285429497,72.63,108.12,0.8,4.06,4.06,73109.82892437922,4.06,5.797171724211729
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,KAU,KaohsiungCity,180071.63575030406,2496828.5214780415,72.78,52.16,1.52,3.6,3.6,72585.65126090721,3.6,5.313228773542506
